,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,92,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,audio_features,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/tracks/3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/audio-analysis/3YJJjQPAbDT7mGpX3WtQ9A,279204,4
1,Hammock,Longest Year - 2020,51TAp7p7B3xboCl5HWmEkF,35,0.0692,0.285,2,-14.854,1,0.0482,0.7,0.673,0.199,0.0312,78.572,audio_features,spotify:track:51TAp7p7B3xboCl5HWmEkF,https://api.spotify.com/v1/tracks/51TAp7p7B3xboCl5HWmEkF,https://api.spotify.com/v1/audio-analysis/51TAp7p7B3xboCl5HWmEkF,533707,4
2,24kGoldn,Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,95,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,audio_features,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/tracks/3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526,4
3,Hammock,Dark Beyond the Blue - 2020,79hqdNpnWPVVxmZiDfKaIL,40,0.2,0.282,2,-19.803,0,0.0468,0.729,0.887,0.0837,0.0372,74.381,audio_features,spotify:track:79hqdNpnWPVVxmZiDfKaIL,https://api.spotify.com/v1/tracks/79hqdNpnWPVVxmZiDfKaIL,https://api.spotify.com/v1/audio-analysis/79hqdNpnWPVVxmZiDfKaIL,325680,3
4,CJ,Whoopty,5vGLcdRuSbUhD8ScwsGSdA,93,0.711,0.598,3,-7.621,0,0.182,0.19,0.0,0.15,0.737,140.175,audio_features,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,https://api.spotify.com/v1/tracks/5vGLcdRuSbUhD8ScwsGSdA,https://api.spotify.com/v1/audio-analysis/5vGLcdRuSbUhD8ScwsGSdA,123429,4
5,Mads & Co.,Year 2020,1E7kvOufjivgCGLETpjvFs,4,0.372,0.0803,2,-15.213,1,0.0383,0.944,1.93e-05,0.107,0.144,126.553,audio_features,spotify:track:1E7kvOufjivgCGLETpjvFs,https://api.spotify.com/v1/tracks/1E7kvOufjivgCGLETpjvFs,https://api.spotify.com/v1/audio-analysis/1E7kvOufjivgCGLETpjvFs,176000,4
6,Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,94,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,audio_features,spotify:track:35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0,172325,4
7,Chicane,Halcyon (Year in Review 2020) - 2020 Anniversary Rework,14rh4oxIMe4fpzWKU4c55d,11,0.632,0.632,9,-10.53,0,0.0386,0.0012,0.936,0.0984,0.0803,125.116,audio_features,spotify:track:14rh4oxIMe4fpzWKU4c55d,https://api.spotify.com/v1/tracks/14rh4oxIMe4fpzWKU4c55d,https://api.spotify.com/v1/audio-analysis/14rh4oxIMe4fpzWKU4c55d,218655,4
8,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,92,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,audio_features,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,173711,4
9,Armin van Buuren,A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020,6BMhvxuuCm1QAxYVrFuPZU,26,0.645,0.852,11,-7.289,0,0.374,0.0964,0.0,0.278,0.737,137.985,audio_features,spotify:track:6BMhvxuuCm1QAxYVrFuPZU,https://api.spotify.com/v1/tracks/6BMhvxuuCm1QAxYVrFuPZU,https://api.spotify.com/v1/audio-analysis/6BMhvxuuCm1QAxYVrFuPZU,32000,3
